uid,chargetime_count_wk_1,chargetime_count_wk_2,chargetime_count_wk_3,chargetime_count_wk_4,chargetime_count_wk_5,chargetime_count_wk_6,chargetime_count_wk_7,chargetime_count_wk_8,chargetime_count_wk_9,chargetime_count_wk_10
u00,75,65,60,47,31,18,12,7,3,1
u01,44,39,36,29,23,19,12,10,5,3
u02,105,98,88,76,62,49,38,30,19,4
u03,47,41,37,30,21,10,6,1,0,0
u04,60,54,46,41,31,23,14,8,2,0
u05,72,68,61,48,38,29,18,14,10,4
u07,48,44,34,30,22,12,5,2,0,0
u08,107,102,92,79,62,50,38,28,17,6
u09,71,67,62,54,46,34,25,18,11,7
u10,85,78,69,63,51,37,29,17,9,5
u12,94,85,72,58,47,39,31,23,15,5
u13,97,96,89,80,60,46,40,34,16,5
u14,69,63,55,48,40,27,16,10,4,2
u15,30,26,22,16,12,8,7,6,3,3
u16,82,76,70,62,53,43,31,25,19,7
u17,81,75,67,60,48,32,20,15,10,3
u18,70,61,57,44,36,23,17,14,11,1
u19,105,98,87,79,70,56,49,35,24,10
u20,34,30,21,18,17,10,5,3,0,0
u22,59,54,49,41,30,24,23,17,11,4
u23,138,130,115,95,76,56,36,18,4,0
u24,30,25,18,13,7,0,0,0,0,0
u25,28,27,20,14,10,7,4,4,4,2
u27,73,67,52,47,38,31,19,18,12,8
u30,66,61,54,46,36,29,25,18,15,6
u31,113,106,88,69,55,41,33,21,15,5
u32,77,71,64,57,49,40,35,27,22,11
u33,68,62,51,41,35,25,15,7,0,0
u34,27,25,20,17,14,10,9,7,3,1
u35,42,39,35,32,28,22,21,15,11,7
u36,63,61,54,49,43,37,28,21,13,4
u39,1,1,0,0,0,0,0,0,0,0
u41,52,49,47,40,37,21,19,14,12,6
u42,29,29,26,21,16,12,9,3,1,0
u43,69,69,57,49,44,35,25,21,14,7
u44,50,50,43,38,32,22,17,13,7,2
u45,57,57,50,40,34,27,22,16,11,5
u46,69,67,55,45,32,25,16,10,4,0
u47,59,55,51,44,34,30,23,21,17,5
u49,147,136,121,103,87,74,74,70,49,21
u50,27,24,19,15,11,6,6,2,1,1
u51,55,50,45,38,33,29,24,15,10,6
u52,66,64,58,50,46,40,34,26,17,4
u53,49,44,35,31,29,21,12,6,2,1
u54,66,61,54,44,34,22,12,4,4,4
u56,39,32,21,18,15,13,9,9,6,3
u57,109,101,92,81,71,57,44,32,21,11
u58,60,57,50,41,33,27,21,14,9,4
u59,154,145,130,117,101,78,62,48,29,13
