uid,locktime_median_wk_1,locktime_median_wk_2,locktime_median_wk_3,locktime_median_wk_4,locktime_median_wk_5,locktime_median_wk_6,locktime_median_wk_7,locktime_median_wk_8,locktime_median_wk_9,locktime_median_wk_10
u00,6044.5,6083.0,6101.0,6101.0,6101.0,6081.5,5884.0,5404.5,5110.0,4753.0
u01,10713.5,11478.0,11693.0,12281.0,11898.0,11322.5,9957.0,10150.0,8537.5,7479.0
u02,5523.5,5503.5,5522.0,5525.0,5596.0,5572.0,5473.5,5572.0,5619.0,8127.0
u03,10268.0,10846.0,10846.0,10764.0,10761.0,10089.0,10294.0,9821.0,5735.0,0.0
u04,12403.0,13236.5,13599.5,13831.0,13831.0,15377.0,15377.0,17927.5,25292.0,0.0
u05,8972.0,9023.5,9157.0,10259.0,12889.5,12956.5,10909.0,12749.0,13521.0,10220.5
u07,12541.0,13704.0,14516.0,13145.0,16720.5,21690.0,29056.0,5643.0,0.0,0.0
u08,6097.5,6126.5,6077.0,6159.0,6239.0,6294.0,6537.5,6537.5,7397.0,6743.0
u09,11001.0,11058.0,11989.0,12032.0,11001.0,12066.0,12187.0,14607.0,12187.0,7641.0
u10,6562.0,6682.5,6902.0,6900.0,6919.0,7008.5,7142.0,7514.0,8422.5,8396.5
u12,5764.0,5828.5,5937.0,5986.5,6046.0,5939.0,5941.0,5971.0,6218.5,6430.0
u13,6697.0,6759.0,6607.0,6422.0,6452.0,5901.5,6407.0,6221.0,4814.0,13374.0
u14,7835.0,7961.0,8078.0,7857.0,7381.5,7014.0,7321.0,5663.5,4735.0,4708.0
u15,10046.5,10046.5,8983.0,8983.0,10046.5,10046.5,8983.0,5159.0,5021.0,5021.0
u16,7067.5,7028.0,7195.5,7225.0,7107.0,7295.5,7338.0,7264.0,7107.0,6690.0
u17,9834.0,10214.5,10245.0,10167.0,10167.0,11641.0,12361.0,12361.0,12458.5,16579.5
u18,7993.0,8073.0,7913.0,7687.0,8031.5,7614.0,7614.0,8781.0,8781.0,8781.0
u19,6922.0,6728.0,6561.5,6476.5,6443.0,5951.0,5517.0,5396.0,5541.5,5948.5
u20,9264.0,9536.5,9951.0,10202.0,10259.0,10326.0,12686.0,13781.0,24035.0,0.0
u22,7854.5,7921.0,8148.5,8463.0,8335.0,8493.5,8652.0,8048.0,8729.5,9124.0
u23,6585.5,6567.0,6567.0,6389.0,6086.0,6032.0,6000.0,5970.0,5716.5,0.0
u24,7266.0,7107.0,6257.5,6272.0,7418.0,0.0,0.0,0.0,0.0,0.0
u25,8533.5,8794.0,10143.0,12038.5,16715.0,6421.0,10789.0,10789.0,10789.0,18919.0
u27,7689.0,7669.0,7264.0,7117.0,7109.0,7336.5,7602.5,10254.0,11420.0,10019.5
u30,9373.0,9617.0,10323.0,10456.0,11037.0,12427.0,12427.0,10609.0,10353.0,9520.0
u31,6176.5,6176.5,6176.5,6176.5,6207.0,6796.0,7091.0,7259.5,6386.0,5968.0
u32,8455.5,8286.0,8502.0,8772.0,9307.0,9648.0,9648.0,8834.5,7948.0,7547.5
u33,6699.0,6584.0,6354.0,6676.0,6943.5,7095.0,7184.5,9286.0,7821.0,7821.0
u34,11360.0,10908.5,8180.0,8052.0,7332.5,7332.5,8052.0,8116.0,4384.0,4384.0
u35,10302.0,10697.0,11499.5,11499.5,11830.5,11554.0,13806.5,12107.0,12107.0,6614.0
u36,6015.0,5952.0,6128.0,6153.5,6128.0,6197.5,6277.5,6363.5,6567.0,6234.5
u39,6681.0,6081.5,5173.0,7538.0,7122.5,0.0,0.0,0.0,0.0,0.0
u41,10387.0,11023.0,11023.0,9527.0,11161.0,12603.5,11671.0,12093.5,12093.5,14416.0
u42,8306.0,8306.0,8681.0,8716.0,8437.5,9217.5,10750.5,14226.0,15945.0,0.0
u43,8391.0,8391.0,8451.0,8456.0,7779.5,10113.0,12430.5,11488.0,10113.0,5855.0
u44,7444.0,7444.0,7572.5,7962.0,8378.0,8344.0,8719.0,9349.0,10821.0,11037.0
u45,7909.5,7909.5,8212.0,7819.0,7356.5,7617.0,7617.0,7252.5,7252.5,9552.0
u46,5559.0,5563.0,5563.0,5966.5,6115.5,6223.5,5739.0,7302.0,8977.0,0.0
u47,8539.0,8480.0,8490.0,8470.0,8539.0,8504.0,8504.0,8487.0,8504.0,10629.0
u49,6410.0,6477.0,6393.0,6416.0,6410.0,6598.0,6598.0,6884.5,6771.0,6613.0
u50,8292.0,8162.5,8292.0,8593.5,7736.0,5869.0,5869.0,4880.0,4799.0,4799.0
u51,8332.5,8466.0,8525.0,8758.0,9121.0,9103.5,8201.5,8237.0,8166.0,10284.5
u52,6432.0,6476.0,6508.0,6767.5,6903.0,7047.0,7267.0,7503.0,7603.5,7595.0
u53,9673.0,9991.0,10126.5,9691.5,9612.5,9895.5,14374.0,15111.0,11000.0,17073.0
u54,5993.0,6018.0,5884.5,5615.0,5250.0,4886.0,6035.0,7106.0,7106.0,7106.0
u56,8801.0,9292.0,11841.0,12325.0,12136.0,13443.0,15183.0,15183.0,19375.0,22116.0
u57,6401.5,6397.0,6609.0,6628.0,6628.0,6618.5,6628.0,6664.0,6678.5,6654.0
u58,8296.5,8532.5,8700.5,8972.0,9397.0,10838.0,12197.5,11948.5,12364.0,12951.5
u59,7291.0,7131.5,7159.0,7159.0,7225.0,7131.5,7159.0,7159.0,7439.0,9617.0
