uid,locktime_q1_wk_1,locktime_q1_wk_2,locktime_q1_wk_3,locktime_q1_wk_4,locktime_q1_wk_5,locktime_q1_wk_6,locktime_q1_wk_7,locktime_q1_wk_8,locktime_q1_wk_9,locktime_q1_wk_10
u00,4529.25,4453.75,4426.75,4432.75,4489.5,4468.5,4446.75,4194.5,3913.0,3878.0
u01,5946.5,5956.0,6171.0,6358.0,6891.0,6929.25,6148.0,6171.0,5894.5,5687.5
u02,4360.0,4349.75,4362.0,4384.5,4500.0,4494.0,4468.75,4432.5,4492.0,4910.0
u03,5937.0,6205.0,5912.0,6012.0,7376.0,5912.0,6721.5,5735.0,5735.0,
u04,6786.0,7066.25,7248.5,7230.0,7322.0,7092.5,7412.0,13363.5,20334.5,
u05,5377.25,5326.25,5392.0,5124.0,5203.25,5053.0,4495.5,4694.0,4495.5,4767.0
u07,5876.0,6131.0,6619.0,6200.0,6497.0,8113.5,15304.0,5464.5,,
u08,4353.75,4363.75,4376.0,4394.0,4445.0,4568.0,4727.5,4815.25,5147.0,5663.5
u09,5995.5,6265.0,6775.0,6751.0,6570.0,6600.0,6637.75,6799.0,6741.75,5080.5
u10,4377.0,4377.5,4391.5,4419.0,4414.0,4461.25,4483.0,4891.5,6486.5,6613.25
u12,4351.0,4353.25,4357.0,4408.75,4506.0,4448.25,4491.0,4468.5,4355.25,4543.0
u13,4448.0,4459.0,4448.0,4341.0,4177.5,4177.5,4268.0,4163.5,3986.0,9288.0
u14,4721.0,4886.0,4920.5,5032.5,4721.5,4464.0,4468.0,4462.0,4435.5,4521.25
u15,5337.25,5111.75,4864.0,4707.0,5187.25,5124.5,5090.0,4661.5,4571.5,4571.5
u16,5048.25,5102.5,5144.0,5194.25,5102.5,5205.5,5605.5,5799.0,5836.0,5154.5
u17,5606.0,5745.0,5605.0,5281.0,5647.25,6255.0,7314.5,7341.0,5379.75,10576.0
u18,5099.0,5084.0,5051.0,5067.5,5391.5,5235.5,5235.5,5301.5,5398.0,5778.0
u19,4472.25,4448.0,4419.0,4397.0,4445.0,4401.0,4345.0,4175.0,4189.0,4250.0
u20,5217.0,5240.25,5223.0,5499.25,5235.5,6319.0,6791.0,6726.0,19997.0,
u22,5350.5,5439.25,5612.75,5533.0,5458.0,5644.75,5558.0,4812.5,5569.0,6478.0
u23,4591.5,4568.0,4562.0,4530.5,4503.5,4521.25,4451.5,4451.5,3876.75,
u24,4732.5,4612.5,4585.75,4591.5,4674.5,,,,,
u25,5930.0,6302.0,5711.0,6232.25,4863.0,4683.0,4773.0,4773.0,4773.0,11891.0
u27,5132.0,5179.5,4924.0,4862.0,4644.5,4607.0,4619.75,4534.0,4826.0,4623.25
u30,5470.75,5700.0,6016.0,5985.0,6223.0,6374.0,6314.0,5631.0,5432.25,5564.75
u31,4520.25,4574.25,4577.5,4585.75,4585.0,4958.5,5005.0,5504.75,4982.0,5005.0
u32,5220.75,5205.5,5268.0,5268.0,5339.0,6317.0,6559.0,6380.75,6121.5,6489.75
u33,4518.25,4424.5,4390.0,4404.5,4920.0,5057.0,4935.25,6212.0,7821.0,7821.0
u34,6596.75,6175.0,4948.0,4684.5,4411.75,4411.75,4666.0,6055.75,4151.0,4151.0
u35,6087.5,5923.5,6109.75,6213.75,6213.75,6116.0,6240.5,6365.0,6365.0,6116.0
u36,4463.0,4463.75,4463.0,4468.0,4474.0,4616.75,4712.25,4657.0,5045.75,4619.5
u39,4524.0,4478.5,4222.0,4549.75,4252.5,,,,,
u41,6062.0,6872.0,6939.75,6425.0,7822.5,9001.0,8943.0,9161.75,9405.25,12559.75
u42,5993.5,5993.5,6191.5,6415.0,6099.0,6697.0,6309.25,7176.75,10449.0,
u43,4888.5,4888.5,5081.0,5242.5,5242.5,5321.0,6367.25,5713.75,5290.0,4738.0
u44,4635.0,4635.0,4702.5,4790.0,4702.5,4738.0,4757.0,4757.0,4738.0,9271.0
u45,5665.75,5665.75,5981.0,5947.0,5985.25,5998.0,6017.0,6124.0,6105.0,7352.0
u46,4347.25,4367.5,4319.5,4477.75,4572.25,4608.75,4525.0,4745.0,4525.0,
u47,5440.0,5416.75,5445.0,5445.0,5496.5,5496.5,5243.0,5142.0,5496.5,8470.0
u49,4714.5,4759.0,4750.0,4835.0,4768.0,4732.5,4780.5,4859.25,5163.0,4921.0
u50,5459.0,5548.25,5694.5,5562.5,5314.25,4456.25,4456.25,4065.5,4535.75,4535.75
u51,5806.5,5812.0,5829.0,5991.0,6252.0,6347.5,6017.25,5830.0,5755.5,5135.25
u52,4596.5,4623.5,4636.0,4563.25,4485.0,4654.0,5079.0,5351.75,5472.5,5488.5
u53,5304.0,5418.5,5548.25,5591.75,5300.75,4964.5,7049.0,7224.5,6483.5,8821.0
u54,4195.0,4241.25,4162.75,4103.0,4074.0,4158.0,4371.0,5197.25,5197.25,5197.25
u56,4999.0,4998.0,5833.0,5727.0,5403.25,7628.25,8920.25,8920.25,11395.0,10401.0
u57,4311.75,4299.25,4313.0,4308.0,4313.0,4346.75,4411.5,4451.0,5017.0,4942.25
u58,5612.5,5686.0,5859.25,5825.75,6220.0,6367.0,7068.25,6946.75,7245.75,6388.25
u59,4530.0,4579.5,4548.5,4548.5,4644.75,4469.0,4397.5,4740.0,4740.0,4740.0
